Wall time,Step,loss,psnr
1764227627.1415927,0,0.01839066669344902,33.752811431884766
1764228030.269487,1,0.017056820914149284,34.313232421875
1764228432.2549589,2,0.016346130520105362,34.80731201171875
1764228835.1574066,3,0.016923950985074043,34.53554153442383
1764229239.0818655,4,0.016513165086507797,34.63117980957031
1764229640.011816,5,0.016277147457003593,34.77149200439453
1764230042.2533102,6,0.016408653929829597,34.73036193847656
1764230445.754585,7,0.016453299671411514,34.7849235534668
1764230849.171858,8,0.015957294031977654,34.920013427734375
1764231249.6473072,9,0.01620251126587391,34.76607131958008
1764231652.59644,10,0.015955114737153053,35.059574127197266
1764232055.3290417,11,0.01573512703180313,35.06349182128906
1764232458.3502455,12,0.015989018604159355,34.923892974853516
1764232861.3557951,13,0.01598946936428547,34.965721130371094
1764233264.27192,14,0.01588371954858303,35.07301712036133
1764233667.0453467,15,0.016195056959986687,35.03278350830078
1764234069.9274704,16,0.0157571192830801,35.13069152832031
1764234472.8221223,17,0.016001231968402863,34.984840393066406
1764234874.585324,18,0.01596621610224247,35.04349899291992
1764235275.7690787,19,0.015979543328285217,34.8365592956543
1764235676.7642305,20,0.015796460211277008,35.068973541259766
1764236082.121457,21,0.01579756662249565,35.12699508666992
1764236485.6958456,22,0.015683962032198906,35.245323181152344
1764236892.7193592,23,0.015400370582938194,35.25114822387695
1764237295.5320122,24,0.01599797233939171,35.045448303222656
1764237699.1882317,25,0.01548885740339756,35.240840911865234
1764238100.9032648,26,0.015312867239117622,35.275115966796875
1764238500.531919,27,0.0157984159886837,35.06420135498047
1764238898.3645806,28,0.015416376292705536,35.44562911987305
1764239287.7915611,29,0.015620247460901737,35.14303207397461
1764239675.8439624,30,0.015792828053236008,35.141300201416016
1764240065.953627,31,0.015292461030185223,35.418373107910156
1764240453.5250256,32,0.015581832267343998,35.23906707763672
1764240841.3049397,33,0.015699641779065132,35.16011047363281
1764241227.7846947,34,0.015731601044535637,35.0810546875
1764241613.558528,35,0.01578672043979168,35.035160064697266
1764242001.5717878,36,0.01555558480322361,35.28178787231445
1764242389.1166427,37,0.01563110575079918,35.183135986328125
1764242775.1726053,38,0.015316643752157688,35.4027099609375
1764243160.8813498,39,0.01546627189964056,35.36764144897461
1764243546.9130223,40,0.015587938949465752,35.24353790283203
1764243934.6563287,41,0.015556465834379196,35.29296875
1764244322.6591156,42,0.015377551317214966,35.39713668823242
1764244711.1758485,43,0.015193663537502289,35.29875946044922
1764245096.997107,44,0.01547088660299778,35.302738189697266
1764245482.8972826,45,0.015582291409373283,35.19614791870117
1764245870.3516958,46,0.015349084511399269,35.439697265625
1764246255.8330152,47,0.01531151495873928,35.43110656738281
1764246641.9907942,48,0.015166777186095715,35.38676071166992
1764247027.319543,49,0.015417642891407013,35.3702278137207
1764247413.4164293,50,0.015360113233327866,35.3759765625
1764247798.6844842,51,0.015164053998887539,35.46450424194336
1764248186.6852152,52,0.015567631460726261,35.2301139831543
1764248572.2583096,53,0.015600986778736115,35.24958038330078
1764248960.511583,54,0.015035111457109451,35.559326171875
1764249350.031462,55,0.01519507821649313,35.474578857421875
1764249735.7001772,56,0.015178924426436424,35.45779800415039
1764250121.516654,57,0.01544944103807211,35.18274688720703
1764250506.959552,58,0.015256434679031372,35.42453384399414
1764250892.899739,59,0.01529912929981947,35.36763000488281
1764251282.4554217,60,0.01527176983654499,35.2957763671875
1764251672.776744,61,0.015318169258534908,35.23025894165039
1764252058.8632486,62,0.01520747970789671,35.42950439453125
1764252447.1260931,63,0.015408196486532688,35.42433166503906
1764252835.7386346,64,0.015468747355043888,35.217105865478516
1764253225.323838,65,0.01500649657100439,35.68070602416992
1764253612.099682,66,0.015344916842877865,35.217430114746094
1764254001.3246672,67,0.015364743769168854,35.39933776855469
1764254390.6686714,68,0.015414430759847164,35.41149139404297
1764254778.0006104,69,0.015850307419896126,34.977237701416016
1764255166.601166,70,0.015041053295135498,35.60074234008789
1764255567.6171472,71,0.015247005969285965,35.41659164428711
1764255972.015214,72,0.015072773210704327,35.495361328125
1764256373.9196217,73,0.015358473174273968,35.42654037475586
1764256779.1744556,74,0.014810306020081043,35.68570327758789
1764257181.3491662,75,0.015292003750801086,35.3678092956543
1764257584.1573274,76,0.015174124389886856,35.49403762817383
1764257985.6781456,77,0.015508273616433144,35.34903335571289
1764258386.8843808,78,0.015227786265313625,35.41114044189453
1764258788.5238585,79,0.015158402733504772,35.48503875732422
1764259189.4118373,80,0.015238906256854534,35.36684799194336
1764259595.7070794,81,0.015151595696806908,35.34474563598633
1764259999.0607662,82,0.015250430442392826,35.373443603515625
1764260400.8129287,83,0.015419747680425644,35.38410186767578
1764260803.385071,84,0.01540770661085844,35.392364501953125
1764261206.0604043,85,0.015311142429709435,35.31008529663086
1764261607.7639868,86,0.015070337802171707,35.49256896972656
1764262012.026679,87,0.015172725543379784,35.45552444458008
1764262413.0116343,88,0.015279056504368782,35.41609191894531
1764262814.7534885,89,0.015162556432187557,35.355892181396484
1764263216.7471077,90,0.015364046208560467,35.30813217163086
1764263618.925374,91,0.015216615051031113,35.44091033935547
1764264020.3675318,92,0.015192803926765919,35.44818878173828
1764264422.7282798,93,0.014761125668883324,35.692501068115234
1764264824.5337877,94,0.015044176951050758,35.6108512878418
1764265226.1809697,95,0.015407820232212543,35.26417541503906
1764265628.537688,96,0.015050146728754044,35.63236999511719
1764266030.6011336,97,0.01506208535283804,35.49421310424805
1764266432.1440678,98,0.015083498321473598,35.490047454833984
1764266834.514215,99,0.015143489465117455,35.47262954711914
