Wall time,Step,Value
1763104862.219285,0,0.6078473925590515
1763104991.117765,1,0.6967397332191467
1763105120.420134,2,0.7200069427490234
1763105248.610592,3,0.7351065278053284
1763105386.512146,4,0.7434331774711609
1763105511.378379,5,0.7526591420173645
1763105656.944247,6,0.7550860643386841
1763105799.527164,7,0.7689034342765808
1763105926.234462,8,0.7705538868904114
1763106052.3188,9,0.776996910572052
1763106201.707677,10,0.7756160497665405
1763106326.640366,11,0.7805085778236389
1763106452.390603,12,0.7859410643577576
1763106580.010149,13,0.7866196036338806
1763106710.063421,14,0.7900641560554504
1763106835.634322,15,0.7943146824836731
1763106962.222113,16,0.7958834171295166
1763107108.966718,17,0.7975037097930908
1763107246.906217,18,0.8003647923469543
1763107373.735601,19,0.8025770783424377
1763107500.250185,20,0.8038173317909241
1763107634.113732,21,0.8038309216499329
1763107760.950521,22,0.8055549263954163
1763107892.030482,23,0.8061819076538086
1763108020.43405,24,0.8083949089050293
1763108156.833376,25,0.8116046190261841
1763378297.268264,0,0.6088919043540955
1763378416.58494,1,0.70112144947052
1763378536.049528,2,0.7209817171096802
1763378651.632093,3,0.7343031167984009
1763378768.488087,4,0.7395786643028259
1763378884.981608,5,0.7527607679367065
1763379001.390389,6,0.7545866966247559
1763379121.257092,7,0.7660093903541565
1763379242.967099,8,0.7684721350669861
1763379364.223695,9,0.7751736044883728
1763379498.70698,10,0.7757238745689392
1763379615.682063,11,0.7777026295661926
1763379732.375707,12,0.7831336259841919
1763379853.108168,13,0.7862664461135864
1763379971.978123,14,0.784453809261322
1763380097.09771,15,0.7916598916053772
1763380218.171059,16,0.7920229434967041
1763380343.455271,17,0.7955962419509888
1763380464.090028,18,0.795978307723999
1763380585.015791,19,0.7990514636039734
1763380706.204397,20,0.8026046752929688
1763380825.544488,21,0.8017764091491699
1763380946.027466,22,0.8026487827301025
1763381071.007203,23,0.805896520614624
1763381192.843733,24,0.8064466714859009
1763381312.176355,25,0.8075084686279297
1763386256.384387,0,0.6151435971260071
1763386388.31008,1,0.6992117762565613
1763386521.901826,2,0.72677081823349
1763386654.763171,3,0.7377504706382751
1763386787.972737,4,0.7453649044036865
1763386930.007023,5,0.7556444406509399
1763387063.580944,6,0.7584752440452576
1763387198.157463,7,0.7680509686470032
1763387330.410797,8,0.7695980668067932
1763387465.130849,9,0.7771576642990112
1763387598.404616,10,0.7752242684364319
1763387725.31626,11,0.7839435338973999
1763387850.211143,12,0.7864848971366882
1763387976.487302,13,0.7881569862365723
1763388102.217878,14,0.7876549959182739
1763388226.885211,15,0.7936353087425232
1763388352.556064,16,0.7952063083648682
1763388479.696976,17,0.7976499199867249
1763388605.073854,18,0.7975479364395142
1763388731.606859,19,0.8018673658370972
1763388856.343346,20,0.8041959404945374
1763388981.491497,21,0.803200900554657
1763389108.723436,22,0.8059995770454407
1763389236.318106,23,0.8071781992912292
1763389362.365003,24,0.8074632883071899
1763389488.980215,25,0.8095163702964783
1763390198.727876,0,0.6073075532913208
1763390323.809745,1,0.6965456008911133
1763390449.616106,2,0.7191981673240662
1763390569.063423,3,0.7361167669296265
1763390696.776642,4,0.7421454191207886
1763390815.634631,5,0.7561002373695374
1763390937.933322,6,0.7592118978500366
1763391058.921949,7,0.7694013714790344
1763391178.799605,8,0.7701753377914429
1763391298.669308,9,0.7773559093475342
1763391426.132805,10,0.7756910920143127
1763391546.308646,11,0.7842084169387817
1763391667.13566,12,0.7870606184005737
1763391786.761468,13,0.7884725332260132
1763391906.38233,14,0.7926604151725769
1763392025.907865,15,0.7930840253829956
1763392145.804885,16,0.7974194288253784
1763392265.672938,17,0.7969319820404053
1763392385.791548,18,0.799010157585144
1763392505.517213,19,0.7999188303947449
1763392625.017008,20,0.8065568804740906
1763392744.678299,21,0.8054089546203613
1763392864.663362,22,0.8046740293502808
1763392983.280329,23,0.8065716624259949
1763393102.571617,24,0.8087366819381714
1763393222.483906,25,0.8116663098335266
1763393343.784037,26,0.8120446801185608
1763393491.417148,27,0.8152392506599426
1763393665.35421,28,0.8138930797576904
1763393901.02242,29,0.8166402578353882
1763394074.814852,30,0.8183989524841309
1763394196.230711,31,0.8197569251060486
1763394402.089409,32,0.8182168006896973
1763394519.580738,33,0.8180810213088989
1763394636.58704,34,0.82389235496521
1763394753.144236,35,0.8238692879676819
1763394869.717472,36,0.8249083757400513
1763394988.123403,37,0.8245223760604858
1763395104.368921,38,0.8262289762496948
1763395220.828415,39,0.8287276029586792
1763395337.663356,40,0.8266331553459167
1763395456.908459,41,0.8300418257713318
1763395572.954727,42,0.8309710621833801
1763395690.834385,43,0.8332095146179199
1763395808.887323,44,0.832675039768219
1763395925.712399,45,0.8352258205413818
1763396042.154877,46,0.8330406546592712
1763396158.442481,47,0.8360374569892883
1763396274.696653,48,0.8370615839958191
1763396392.860755,49,0.8371590375900269
1763396509.592211,50,0.8397656083106995
1763396625.789929,51,0.8389655947685242
1763396742.967386,52,0.8413049578666687
1763396859.116543,53,0.8417043089866638
1763396975.28559,54,0.8435788154602051
1763397092.026186,55,0.843421459197998
1763397217.329583,56,0.8442879319190979
1763397344.596006,57,0.8437405228614807
1763397472.115633,58,0.8462379574775696
1763397591.593164,59,0.8477030396461487
1763397710.956266,60,0.8485041260719299
1763397828.755889,61,0.8499289751052856
1763397947.394095,62,0.8490861654281616
1763398063.304452,63,0.851361870765686
1763398179.754696,64,0.8516606688499451
1763398296.124715,65,0.8526646494865417
1763398414.22319,66,0.8536946773529053
1763398530.713871,67,0.8547090888023376
1763398646.764879,68,0.8564258813858032
1763398763.028181,69,0.8556824326515198
1763398879.558473,70,0.8572342991828918
