Wall time,Step,Value
1763912509.368034,0,0.6065592169761658
1763912617.835865,1,0.6801299452781677
1763912724.989079,2,0.7102856040000916
1763912834.240205,3,0.7299696803092957
1763912942.826619,4,0.7554671168327332
1763913050.623163,5,0.7685034275054932
1763913158.591574,6,0.7794550657272339
1763913266.690694,7,0.7906387448310852
1763913375.427375,8,0.7964629530906677
1763913482.452752,9,0.8062418103218079
1763913592.28447,10,0.8072702884674072
1763913700.500527,11,0.8114959597587585
1763913810.135813,12,0.8124467134475708
1763913917.664298,13,0.8191386461257935
1763914025.47368,14,0.8239420652389526
1763914133.408817,15,0.8236464858055115
1763914240.796023,16,0.827495276927948
1763914347.753251,17,0.8332066535949707
1763914456.791541,18,0.8259375095367432
1763914564.028293,19,0.834073543548584
1763914671.954883,20,0.8381086587905884
1763914781.567894,21,0.8400189280509949
1763914889.02276,22,0.8404181599617004
1763914998.256078,23,0.8411892056465149
1763915106.35306,24,0.8393528461456299
1763915215.22994,25,0.8424976468086243
1763915324.646374,26,0.8440958857536316
1763915432.946545,27,0.8500704169273376
1763915540.002024,28,0.8488001823425293
1763915648.414076,29,0.8492180705070496
1763915756.23983,30,0.8510507941246033
1763915867.740108,31,0.8476282954216003
1763915977.338798,32,0.8519707918167114
1763916089.913183,33,0.8507693409919739
1763916201.280835,34,0.855303943157196
1763916309.211906,35,0.8568408489227295
1763916416.711735,36,0.8560380935668945
1763916525.222453,37,0.8591415286064148
1763916632.713884,38,0.8589162826538086
1763916740.05114,39,0.8585965037345886
1763916850.10965,40,0.8614928722381592
1763916959.71529,41,0.8620293140411377
1763917068.206058,42,0.8648324012756348
1763917175.92491,43,0.8609925508499146
1763917283.318178,44,0.8650220632553101
1763917391.085149,45,0.867306649684906
1763917499.399776,46,0.865210771560669
1763917609.148909,47,0.8631080389022827
1763917716.926953,48,0.8666070699691772
1763917825.435667,49,0.8665563464164734
1763917933.501421,50,0.8685291409492493
1763918040.935827,51,0.8691278100013733
1763918148.377112,52,0.8693649172782898
1763918256.036886,53,0.8707309365272522
1763918365.40198,54,0.8717866539955139
1763918473.081301,55,0.8736175894737244
1763918580.806486,56,0.8721857666969299
1763918687.945345,57,0.8718945384025574
1763918795.445677,58,0.874214231967926
1763918903.154678,59,0.8732560276985168
1763919011.372539,60,0.8745681643486023
1763919118.567572,61,0.8763963580131531
1763919227.536918,62,0.8769394159317017
1763919335.324099,63,0.8783531785011292
1763919443.729946,64,0.8794655203819275
1763919551.388606,65,0.8775805234909058
1763919659.540479,66,0.8802931308746338
1763919767.619902,67,0.8802151679992676
1763919875.805536,68,0.8816969394683838
1763919983.394708,69,0.8813974261283875
1763920091.084464,70,0.8803009390830994
1763920199.144679,71,0.8825343251228333
1763920307.375257,72,0.8831561803817749
1763920416.562004,73,0.883985161781311
1763920524.23955,74,0.8827027678489685
1763920631.825841,75,0.8835345506668091
1763920739.139166,76,0.8841155767440796
1763920847.278555,77,0.8858405947685242
1763920955.317144,78,0.8838334083557129
1763921062.711256,79,0.8865178823471069
1763921170.306715,80,0.8854867815971375
1763921278.418969,81,0.8894011378288269
1763921387.245767,82,0.8866726756095886
1763921495.018143,83,0.886240541934967
1763921602.543732,84,0.8875873684883118
1763921710.352655,85,0.8868951201438904
1763921819.728976,86,0.888944685459137
1763921927.259609,87,0.888773500919342
1763922035.448798,88,0.887328565120697
1763922143.44041,89,0.8868372440338135
1763922251.575452,90,0.8881851434707642
1763922359.268136,91,0.8863894939422607
1763922466.206343,92,0.88899165391922
1763922574.037411,93,0.8881954550743103
1763922681.654749,94,0.8890881538391113
1763922790.138702,95,0.8881286978721619
1763922898.084521,96,0.8867285251617432
1763923005.207037,97,0.8886249661445618
1763923113.008476,98,0.8878726959228516
1763923220.257119,99,0.8890900015830994
