epoch,duration_s,ms_per_step,steps_per_epoch
0,789.7814729213715,731.2791415938625,1080
1,749.529376745224,694.0086821715037,1080
2,751.0641901493073,695.429805693803,1080
3,750.8621084690094,695.2426930268606,1080
4,752.2172288894653,696.4974341569124,1080
5,756.1503851413727,700.139245501271,1080
6,749.3321573734283,693.8260716420633,1080
7,752.9354355335236,697.1624403088181,1080
8,751.7180292606354,696.0352122783661,1080
9,753.051150560379,697.2695838522028,1080
10,749.2170343399048,693.7194762406526,1080
11,752.364490032196,696.6337870668482,1080
12,752.776947259903,697.0156919073175,1080
13,752.3072271347046,696.5807658654672,1080
14,753.1698219776154,697.3794647940883,1080
15,749.41614818573,693.9038409127129,1080
16,749.5537548065186,694.0312544504801,1080
17,753.1183295249939,697.3317865972166,1080
18,749.345493555069,693.8384199583971,1080
19,751.5826909542084,695.9098990316744,1080
20,748.8562240600586,693.3853926482024,1080
21,752.8406233787537,697.0746512766237,1080
22,752.9614887237549,697.1865636331064,1080
23,752.8967311382294,697.126602905768,1080
24,749.084869146347,693.5971010614325,1080
25,749.5652191638947,694.0418695961988,1080
26,750.9102828502655,695.2872989354311,1080
27,750.0486912727356,694.4895289562367,1080
28,749.3991899490356,693.8881388416996,1080
29,750.934556722641,695.3097747431862,1080
30,748.7823784351349,693.3170170695694,1080
31,749.5722942352295,694.0484205881754,1080
32,750.7009909152985,695.0935101067579,1080
33,749.6118152141571,694.0850140871825,1080
34,752.0101630687714,696.3057065451586,1080
35,749.688958644867,694.1564431896916,1080
36,755.59587931633,699.625814181787,1080
37,750.4846289157867,694.8931749220247,1080
38,753.5352220535278,697.717798197711,1080
39,754.4670634269714,698.5806142842329,1080
40,756.0947370529175,700.0877194934421,1080
41,756.2174751758575,700.2013659035719,1080
42,756.1418073177338,700.1313030719757,1080
43,890.8720653057098,824.8815419497313,1080
44,779.1221523284912,721.4094003041586,1080
45,755.5191345214844,699.5547541865596,1080
46,757.8019490242004,701.6684713187041,1080
47,755.5541603565216,699.5871855152977,1080
48,755.8546652793884,699.8654308142485,1080
49,757.4394316673279,701.3328070993776,1080
50,755.5040302276611,699.5407687293159,1080
51,757.1035940647125,701.0218463562153,1080
52,757.8032851219177,701.6697084462202,1080
53,755.4254763126373,699.4680336228123,1080
54,755.4162249565125,699.4594675523264,1080
55,755.8742523193359,699.8835669623481,1080
56,758.4573814868927,702.2753532286043,1080
