index,filename,psnr_y,ssim_y,msssim_y,mse_y
0,0801.png#patch0000,42.684444427490234,0.979865312576294,0.9960896372795105,5.389586294768378e-05
1,0801.png#patch0001,42.067787170410156,0.9764575362205505,0.995620846748352,6.211854633875191e-05
2,0801.png#patch0002,42.702049255371094,0.9812842011451721,0.9962740540504456,5.36777988600079e-05
3,0801.png#patch0003,31.543703079223633,0.9531511664390564,0.9920294284820557,0.0007008573156781495
4,0801.png#patch0004,44.2771110534668,0.9841757416725159,0.9976119995117188,3.734985148184933e-05
5,0801.png#patch0005,45.4365119934082,0.9845425486564636,0.997538685798645,2.859884625650011e-05
6,0801.png#patch0006,43.70893478393555,0.983826756477356,0.9971911907196045,4.257025648257695e-05
7,0801.png#patch0007,33.54763412475586,0.9092316031455994,0.9819360971450806,0.00044181098928675056
8,0801.png#patch0008,35.553749084472656,0.9424576759338379,0.9888668060302734,0.00027837156085297465
9,0801.png#patch0009,37.71199417114258,0.9656744003295898,0.9938605427742004,0.00016935587336774915
10,0801.png#patch0010,31.085264205932617,0.8774298429489136,0.9762030839920044,0.000778885034378618
11,0801.png#patch0011,42.301544189453125,0.9809534549713135,0.9966487288475037,5.886340659344569e-05
12,0801.png#patch0012,42.27991485595703,0.981818437576294,0.9969278573989868,5.9157297073397785e-05
13,0801.png#patch0013,38.19690704345703,0.968975841999054,0.9937952160835266,0.0001514638715889305
14,0801.png#patch0014,28.088560104370117,0.7702398896217346,0.9494969844818115,0.00155290134716779
15,0801.png#patch0015,30.19440460205078,0.8153113126754761,0.9599288105964661,0.0009562235791236162
16,0801.png#patch0016,32.033023834228516,0.897916853427887,0.9791755676269531,0.0006261777016334236
17,0801.png#patch0017,34.44800567626953,0.9205160737037659,0.9840119481086731,0.00035908655263483524
18,0801.png#patch0018,33.53968048095703,0.9076856374740601,0.9823001623153687,0.0004426209779921919
19,0801.png#patch0019,34.16413116455078,0.9304875731468201,0.9860522150993347,0.0003833422379102558
20,0801.png#patch0020,30.351234436035156,0.8740994930267334,0.9745811820030212,0.000922309176530689
21,0801.png#patch0021,27.521589279174805,0.6753153204917908,0.9180932641029358,0.001769460504874587
22,0801.png#patch0022,27.115406036376953,0.6917490363121033,0.9327604174613953,0.0019429393578320742
23,0801.png#patch0023,29.091175079345703,0.7967089414596558,0.9581749439239502,0.0012327706208452582
24,0801.png#patch0024,39.22281265258789,0.9597909450531006,0.9903069138526917,0.00011959655967075378
25,0801.png#patch0025,33.83083724975586,0.8901644349098206,0.9776486754417419,0.00041391956619918346
26,0801.png#patch0026,28.79477882385254,0.8116503357887268,0.9580286741256714,0.0013198418309912086
27,0801.png#patch0027,27.303342819213867,0.7761823534965515,0.9533830285072327,0.0018606542143970728
28,0801.png#patch0028,28.025724411010742,0.7550742030143738,0.9481666088104248,0.0015755330678075552
29,0801.png#patch0029,28.037044525146484,0.742458164691925,0.9409770965576172,0.001571431290358305
30,0801.png#patch0030,28.264108657836914,0.7567568421363831,0.9483731389045715,0.0014913822524249554
31,0801.png#patch0031,30.559606552124023,0.8489043712615967,0.9703043103218079,0.0008791021537035704
32,0801.png#patch0032,28.624710083007812,0.7500329613685608,0.9454103708267212,0.0013725518947467208
33,0801.png#patch0033,27.200899124145508,0.7204158306121826,0.9387556910514832,0.0019050658447667956
34,0801.png#patch0034,27.1251163482666,0.7348952889442444,0.9428530335426331,0.0019386003259569407
35,0802.png#patch0000,39.12004470825195,0.9471638798713684,0.9911438822746277,0.00012246026017237455
36,0802.png#patch0001,36.086883544921875,0.906742513179779,0.9815260767936707,0.00024621313787065446
37,0802.png#patch0002,35.914283752441406,0.8934268355369568,0.9784979224205017,0.00025619566440582275
38,0802.png#patch0003,36.11396789550781,0.9069554209709167,0.9827516078948975,0.00024468262563459575
39,0802.png#patch0004,36.64319610595703,0.9386076927185059,0.9898502230644226,0.00021661071514245123
40,0802.png#patch0005,37.38688659667969,0.9312602281570435,0.9872092604637146,0.0001825203507905826
41,0802.png#patch0006,39.75995635986328,0.9527352452278137,0.9915816187858582,0.00010568280413281173
42,0802.png#patch0007,38.59744644165039,0.9360331296920776,0.9891100525856018,0.0001381195179419592
43,0802.png#patch0008,36.254337310791016,0.9248858690261841,0.9864817261695862,0.00023690050875302404
44,0802.png#patch0009,36.80419158935547,0.9274590015411377,0.9879431128501892,0.0002087279863189906
45,0802.png#patch0010,34.98126220703125,0.9152976870536804,0.9855270385742188,0.0003175949677824974
46,0802.png#patch0011,33.78107833862305,0.8889001607894897,0.9786342978477478,0.00041868939297273755
47,0802.png#patch0012,36.87752914428711,0.9164204001426697,0.9843619465827942,0.00020523276180028915
48,0802.png#patch0013,38.698028564453125,0.946504533290863,0.9906236529350281,0.000134957444970496
49,0802.png#patch0014,36.370643615722656,0.9147533774375916,0.9821245074272156,0.0002306404203409329
50,0802.png#patch0015,37.22587966918945,0.9243496060371399,0.9867892265319824,0.00018941382586490363
51,0802.png#patch0016,37.552799224853516,0.9299783706665039,0.9885039329528809,0.00017567910254001617
52,0802.png#patch0017,34.09408187866211,0.8719296455383301,0.9715861082077026,0.000389575696317479
53,0802.png#patch0018,34.74827194213867,0.9019169807434082,0.9804242849349976,0.0003350988554302603
54,0802.png#patch0019,38.03059005737305,0.9345779418945312,0.9881605505943298,0.00015737679495941848
55,0802.png#patch0020,37.63246536254883,0.954174280166626,0.992428183555603,0.00017248577205464244
56,0802.png#patch0021,35.634307861328125,0.9049388766288757,0.9818005561828613,0.00027325571863912046
57,0802.png#patch0022,35.762752532958984,0.8933828473091125,0.9771103858947754,0.00026529235765337944
58,0802.png#patch0023,34.36725616455078,0.8755260705947876,0.9740909337997437,0.00036582566099241376
59,0802.png#patch0024,34.299591064453125,0.8869869112968445,0.9793252944946289,0.00037156997132115066
60,0802.png#patch0025,35.948795318603516,0.906171441078186,0.9807217121124268,0.0002541676221881062
61,0802.png#patch0026,36.0384521484375,0.9273808598518372,0.9882143139839172,0.0002489743637852371
62,0802.png#patch0027,35.49623107910156,0.9168838262557983,0.9856463670730591,0.0002820828522089869
63,0802.png#patch0028,38.336097717285156,0.9391682744026184,0.9891302585601807,0.0001466864050598815
64,0802.png#patch0029,36.90693283081055,0.9342591166496277,0.9883643388748169,0.00020384803065098822
65,0802.png#patch0030,35.56459426879883,0.8869871497154236,0.9766743779182434,0.00027767731808125973
66,0802.png#patch0031,35.426025390625,0.9175553917884827,0.9851200580596924,0.00028667988954111934
67,0802.png#patch0032,33.203678131103516,0.9054045081138611,0.9822986125946045,0.00047822477063164115
68,0802.png#patch0033,35.864078521728516,0.9158017635345459,0.9842299222946167,0.0002591741504147649
69,0802.png#patch0034,36.64265823364258,0.9269980192184448,0.9865211248397827,0.00021663766528945416
