index,filename,psnr_y,ssim_y,msssim_y,mse_y
0,0801.png#patch0000,45.87347412109375,0.9890511631965637,0.9984862804412842,2.586141272331588e-05
1,0801.png#patch0001,45.59962463378906,0.9882013201713562,0.998430073261261,2.754465094767511e-05
2,0801.png#patch0002,46.54096984863281,0.9909496903419495,0.9987615942955017,2.2177016944624484e-05
3,0801.png#patch0003,34.115047454833984,0.9729869365692139,0.9961437582969666,0.0003876994887832552
4,0801.png#patch0004,46.74852752685547,0.9897006750106812,0.9988160729408264,2.1142039258847944e-05
5,0801.png#patch0005,47.70728302001953,0.9897644519805908,0.9987632632255554,1.695397440926172e-05
6,0801.png#patch0006,47.00064468383789,0.9907650351524353,0.9988910555839539,1.9949649868067354e-05
7,0801.png#patch0007,37.049095153808594,0.9548385739326477,0.9934092164039612,0.00019728332699742168
8,0801.png#patch0008,39.428077697753906,0.973854124546051,0.9963082075119019,0.00011407541751395911
9,0801.png#patch0009,41.31403732299805,0.9838742613792419,0.9979180097579956,7.389177335426211e-05
10,0801.png#patch0010,33.85159683227539,0.9252729415893555,0.9878578782081604,0.0004119458608329296
11,0801.png#patch0011,45.27630615234375,0.9886550307273865,0.9986515641212463,2.9673554308828898e-05
12,0801.png#patch0012,46.058998107910156,0.9893752336502075,0.9987124800682068,2.477993257343769e-05
13,0801.png#patch0013,43.45438766479492,0.9891079664230347,0.9984467625617981,4.5139953726902604e-05
14,0801.png#patch0014,30.604999542236328,0.8680619597434998,0.9784773588180542,0.0008699611644260585
15,0801.png#patch0015,33.11147689819336,0.8987740278244019,0.984056293964386,0.0004884859663434327
16,0801.png#patch0016,35.31993103027344,0.946266770362854,0.9919530749320984,0.00029376946622505784
17,0801.png#patch0017,37.00288391113281,0.950289785861969,0.991934597492218,0.00019939361664000899
18,0801.png#patch0018,36.73575210571289,0.9449008107185364,0.9917308688163757,0.00021204336371738464
19,0801.png#patch0019,38.22844696044922,0.9719209671020508,0.9958295226097107,0.0001503679814049974
20,0801.png#patch0020,34.39708709716797,0.9483569264411926,0.9921334981918335,0.0003633216256275773
21,0801.png#patch0021,29.61028480529785,0.7954811453819275,0.9613618850708008,0.0010938842315226793
22,0801.png#patch0022,29.463550567626953,0.815539538860321,0.9694727063179016,0.0011314746225252748
23,0801.png#patch0023,31.748037338256836,0.8827065825462341,0.9819236397743225,0.0006686457782052457
24,0801.png#patch0024,41.46552276611328,0.9759095907211304,0.9957331418991089,7.13588233338669e-05
25,0801.png#patch0025,36.96929931640625,0.9429845213890076,0.9914013147354126,0.0002009416202781722
26,0801.png#patch0026,32.01806640625,0.9092057943344116,0.9849635362625122,0.000628338020760566
27,0801.png#patch0027,30.412925720214844,0.8896904587745667,0.9824491739273071,0.0009093004046007991
28,0801.png#patch0028,30.799671173095703,0.8689737319946289,0.9794206023216248,0.0008318267064169049
29,0801.png#patch0029,30.53400230407715,0.8537909388542175,0.9747529029846191,0.000884300097823143
30,0801.png#patch0030,30.731355667114258,0.8608238101005554,0.9775585532188416,0.0008450144669041038
31,0801.png#patch0031,33.47148132324219,0.9169477820396423,0.9875609874725342,0.00044962624087929726
32,0801.png#patch0032,31.23334503173828,0.8605043292045593,0.9768854379653931,0.0007527751731686294
33,0801.png#patch0033,29.512414932250977,0.8377131819725037,0.9729461669921875,0.0011188152711838484
34,0801.png#patch0034,29.331851959228516,0.8436940908432007,0.9738970398902893,0.0011663121404126287
35,0802.png#patch0000,41.601036071777344,0.9670051336288452,0.9956375360488892,6.91665627527982e-05
36,0802.png#patch0001,38.510948181152344,0.9444608092308044,0.9913280606269836,0.00014089808973949403
37,0802.png#patch0002,38.344932556152344,0.9360772967338562,0.9899839162826538,0.00014638832362834364
