epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,540.0,540.0,393.0,729.0,0.0225,31.7972,,
2.0,540.0,540.0,354.0,655.0,0.021,32.3168,,
3.0,540.0,540.0,354.0,656.0,0.0203,32.778,,
4.0,540.0,540.0,410.0,758.0,0.0209,32.5216,0.0183,34.4022
5.0,540.0,540.0,354.0,656.0,0.0204,32.6084,,
6.0,540.0,540.0,354.0,656.0,0.0201,32.7515,,
7.0,540.0,540.0,355.0,657.0,0.0202,32.7451,,
8.0,540.0,540.0,409.0,757.0,0.0204,32.7826,0.0179,34.6391
9.0,540.0,540.0,354.0,655.0,0.0197,32.9223,,
10.0,540.0,540.0,354.0,656.0,0.0201,32.7439,,
11.0,540.0,540.0,354.0,656.0,0.0197,33.0593,,
12.0,540.0,540.0,409.0,757.0,0.0195,33.0513,0.0177,34.7538
13.0,540.0,540.0,355.0,657.0,0.0198,32.9139,,
14.0,540.0,540.0,354.0,656.0,0.0198,32.9439,,
15.0,540.0,540.0,354.0,655.0,0.0197,33.0653,,
16.0,540.0,540.0,409.0,757.0,0.02,33.0308,0.0176,34.8119
17.0,540.0,540.0,355.0,657.0,0.0195,33.1581,,
18.0,540.0,540.0,354.0,655.0,0.0198,32.9772,,
19.0,540.0,540.0,354.0,656.0,0.0198,33.0276,,
20.0,540.0,540.0,409.0,757.0,0.0198,32.8029,0.0175,34.8056
21.0,540.0,540.0,354.0,656.0,0.0196,33.049,,
22.0,540.0,540.0,354.0,656.0,0.0196,33.1024,,
23.0,540.0,540.0,354.0,656.0,0.0194,33.2428,,
24.0,540.0,540.0,408.0,756.0,0.0191,33.2222,0.0175,34.816
25.0,540.0,540.0,354.0,655.0,0.0198,33.0188,,
26.0,540.0,540.0,354.0,655.0,0.0192,33.2221,,
27.0,540.0,540.0,354.0,655.0,0.019,33.2431,,
28.0,540.0,540.0,408.0,756.0,0.0196,33.0374,0.0174,34.8901
29.0,540.0,540.0,354.0,656.0,0.0191,33.43,,
30.0,540.0,540.0,354.0,656.0,0.0194,33.1189,,
31.0,540.0,540.0,354.0,656.0,0.0196,33.1054,,
32.0,540.0,540.0,409.0,757.0,0.019,33.3972,0.0174,34.9116
33.0,540.0,540.0,355.0,657.0,0.0193,33.2171,,
34.0,540.0,540.0,355.0,657.0,0.0194,33.1495,,
35.0,540.0,540.0,355.0,657.0,0.0195,33.0551,,
36.0,540.0,540.0,409.0,757.0,0.0196,32.9965,0.0173,34.9875
37.0,540.0,540.0,355.0,656.0,0.0193,33.2479,,
38.0,540.0,540.0,355.0,658.0,0.0194,33.1417,,
39.0,540.0,540.0,355.0,657.0,0.019,33.3634,,
40.0,540.0,540.0,409.0,757.0,0.0192,33.3383,0.0173,35.0059
41.0,540.0,540.0,355.0,657.0,0.0193,33.2206,,
42.0,540.0,540.0,355.0,657.0,0.0193,33.2592,,
43.0,540.0,540.0,355.0,657.0,0.0191,33.3721,,
44.0,540.0,540.0,409.0,758.0,0.0189,33.2523,0.0172,35.0599
45.0,540.0,540.0,355.0,657.0,0.0192,33.2604,,
46.0,540.0,540.0,355.0,657.0,0.0194,33.1545,,
47.0,540.0,540.0,355.0,657.0,0.0191,33.399,,
48.0,540.0,540.0,408.0,756.0,0.0191,33.3822,0.0173,34.991
49.0,540.0,540.0,355.0,657.0,0.0188,33.3497,,
50.0,540.0,540.0,355.0,657.0,0.0191,33.3573,,
51.0,540.0,540.0,355.0,657.0,0.0191,33.3311,,
52.0,540.0,540.0,408.0,756.0,0.0188,33.4391,0.0172,35.0347
53.0,540.0,540.0,354.0,656.0,0.0193,33.1883,,
54.0,540.0,540.0,355.0,657.0,0.0194,33.2172,,
55.0,540.0,540.0,355.0,657.0,0.0187,33.5194,,
56.0,540.0,540.0,409.0,758.0,0.0189,33.419,0.0171,35.0087
57.0,540.0,540.0,354.0,656.0,0.0189,33.418,,
58.0,540.0,540.0,354.0,656.0,0.0192,33.1366,,
59.0,540.0,540.0,355.0,657.0,0.019,33.3913,,
60.0,540.0,540.0,408.0,756.0,0.019,33.3211,0.0172,35.0136
61.0,540.0,540.0,355.0,657.0,0.019,33.2613,,
62.0,540.0,540.0,355.0,657.0,0.0191,33.1662,,
63.0,540.0,540.0,354.0,656.0,0.0189,33.3936,,
64.0,540.0,540.0,409.0,758.0,0.0191,33.3953,0.0171,35.112
65.0,540.0,540.0,354.0,656.0,0.0192,33.1653,,
66.0,540.0,540.0,355.0,657.0,0.0186,33.6713,,
67.0,540.0,540.0,355.0,657.0,0.0191,33.1697,,
68.0,540.0,540.0,409.0,757.0,0.0192,33.3634,0.017,35.0623
69.0,540.0,540.0,355.0,657.0,0.0191,33.3899,,
70.0,540.0,540.0,355.0,658.0,0.0196,32.9947,,
71.0,540.0,540.0,355.0,657.0,0.0187,33.5601,,
72.0,540.0,540.0,409.0,757.0,0.0189,33.402,0.017,35.1122
73.0,540.0,540.0,354.0,656.0,0.0187,33.4877,,
74.0,540.0,540.0,355.0,657.0,0.0191,33.3933,,
75.0,540.0,540.0,354.0,656.0,0.0184,33.6643,,
76.0,540.0,540.0,409.0,758.0,0.019,33.3343,0.017,35.133
77.0,540.0,540.0,354.0,656.0,0.0188,33.4949,,
78.0,540.0,540.0,354.0,656.0,0.0192,33.343,,
79.0,540.0,540.0,354.0,656.0,0.0189,33.3812,,
80.0,540.0,540.0,408.0,756.0,0.0188,33.4684,0.017,35.1089
81.0,540.0,540.0,354.0,656.0,0.0189,33.3445,,
82.0,540.0,540.0,354.0,656.0,0.0188,33.3034,,
83.0,540.0,540.0,354.0,656.0,0.0189,33.3769,,
84.0,540.0,540.0,408.0,755.0,0.0191,33.3713,0.017,35.1369
85.0,540.0,540.0,354.0,655.0,0.0191,33.3622,,
86.0,540.0,540.0,354.0,656.0,0.019,33.2867,,
87.0,540.0,540.0,354.0,656.0,0.0187,33.4783,,
88.0,540.0,540.0,409.0,757.0,0.0189,33.4415,0.0169,35.2074
89.0,540.0,540.0,354.0,655.0,0.019,33.3964,,
90.0,540.0,540.0,354.0,656.0,0.0188,33.354,,
91.0,540.0,540.0,354.0,656.0,0.0191,33.2868,,
92.0,540.0,540.0,408.0,755.0,0.0189,33.4231,0.017,35.1933
93.0,540.0,540.0,355.0,657.0,0.0188,33.4725,,
94.0,540.0,540.0,354.0,656.0,0.0183,33.6727,,
95.0,540.0,540.0,355.0,657.0,0.0186,33.6231,,
96.0,540.0,540.0,408.0,756.0,0.0191,33.2629,0.0169,35.1715
97.0,540.0,540.0,354.0,656.0,0.0187,33.63,,
98.0,540.0,540.0,354.0,656.0,0.0187,33.4822,,
99.0,540.0,540.0,355.0,658.0,0.0187,33.4973,,
100.0,540.0,540.0,408.0,756.0,0.0188,33.4624,0.0169,35.1671
101.0,540.0,540.0,355.0,657.0,0.0189,33.5495,,
102.0,540.0,540.0,355.0,657.0,0.0189,33.457,,
103.0,540.0,540.0,355.0,657.0,0.0187,33.5373,,
104.0,540.0,540.0,409.0,758.0,0.0186,33.6693,0.0169,35.2123
105.0,540.0,540.0,354.0,656.0,0.0187,33.6265,,
106.0,540.0,540.0,355.0,657.0,0.0189,33.4689,,
107.0,540.0,540.0,355.0,657.0,0.0186,33.6409,,
108.0,540.0,540.0,409.0,757.0,0.0187,33.5281,0.0168,35.245
109.0,540.0,540.0,355.0,657.0,0.0187,33.4343,,
110.0,540.0,540.0,355.0,657.0,0.0188,33.3991,,
111.0,540.0,540.0,355.0,657.0,0.0188,33.4845,,
112.0,540.0,540.0,409.0,757.0,0.0187,33.5223,0.0168,35.2316
113.0,540.0,540.0,354.0,656.0,0.0191,33.2109,,
114.0,540.0,540.0,355.0,657.0,0.0187,33.4663,,
