epoch,duration_s,ms_per_step,steps_per_epoch
0,1821.699062347412,421.6895977656047,4320
1,1777.5650930404663,411.47340116677464,4320
2,1778.0186307430267,411.578386746071,4320
3,1779.0376410484314,411.814268761211,4320
4,1778.2547478675842,411.6330434878667,4320
5,1778.257915019989,411.63377662499744,4320
6,1777.8014996051788,411.52812490860623,4320
7,1781.369874715805,412.3541376656956,4320
8,1782.3762702941895,412.5870996051365,4320
9,1776.2843153476715,411.17692484899806,4320
10,1772.1774826049805,410.2262691215233,4320
11,1773.113497018814,410.44293912472546,4320
12,1772.7426767349243,410.3571010960473,4320
13,1773.6926226615906,410.5769959864793,4320
14,1773.2137577533722,410.4661476280954,4320
15,1771.419091463089,410.05071561645576,4320
16,1762.7509648799896,408.0442048333309,4320
17,1705.5226829051971,394.796917339166,4320
18,1703.9685356616974,394.4371610328003,4320
19,1702.4167215824127,394.0779448107437,4320
20,1699.5807983875275,393.42148110822393,4320
21,1701.6908383369446,393.90991628170013,4320
22,1702.5611486434937,394.1113770008087,4320
23,1702.449150800705,394.08545157423725,4320
24,1847.4023096561432,427.63942353151464,4320
25,1803.9577543735504,417.58281351239594,4320
26,1803.1470532417297,417.39515121336336,4320
27,1806.3401200771332,418.13428705489196,4320
28,1806.371458530426,418.1415413264875,4320
29,1804.6735198497772,417.7484999652262,4320
30,1805.781194448471,418.00490612233125,4320
31,1807.8769681453705,418.49003892253944,4320
32,1804.0361528396606,417.600961305477,4320
33,1804.3483245372772,417.6732232725179,4320
34,1804.3010849952698,417.66228819334947,4320
35,1804.986219882965,417.8208842321678,4320
36,1807.0352885723114,418.295205688035,4320
37,1808.4832577705383,418.6303837431802,4320
38,1806.6933879852295,418.21606203361796,4320
39,1804.1972403526306,417.63825008162746,4320
40,1805.9293439388275,418.03919998583973,4320
41,1803.7166035175323,417.52699155498436,4320
42,1805.5869343280792,417.95993850187017,4320
43,1806.679795742035,418.2129156810266,4320
44,1804.3441870212555,417.6722655141795,4320
45,1805.4917912483215,417.93791464081517,4320
46,1807.3596405982971,418.37028717553176,4320
47,1834.8412716388702,424.73177584233105,4320
48,1793.633639574051,415.1929721236229,4320
49,1794.7954363822937,415.4619065699754,4320
50,1795.8288640975952,415.7011259485174,4320
51,1798.7873771190643,416.38596692570934,4320
52,1793.8638961315155,415.2462722526656,4320
53,1795.8130452632904,415.69746418131723,4320
54,1800.625729560852,416.81151147241945,4320
55,1796.1723074913025,415.7806267340978,4320
56,1796.0923998355865,415.76212959157095,4320
57,1793.995884180069,415.2768250416826,4320
58,1797.0742321014404,415.9894055790371,4320
59,1795.856826543808,415.70759873699257,4320
60,1797.2108647823334,416.021033514429,4320
61,1798.7224607467651,416.3709399876771,4320
62,1796.4011850357056,415.83360764715405,4320
63,1798.5488226413727,416.3307459817992,4320
64,1795.779263973236,415.6896444382491,4320
65,1798.266277551651,416.26534202584514,4320
66,1799.6830542087555,416.59329958536006,4320
67,1795.8385140895844,415.7033597429593,4320
68,1796.6211516857147,415.8845258531747,4320
69,1796.7706894874573,415.91914108505955,4320
70,1797.06383061409,415.98699782733564,4320
