scale,val_dice,val_iou,val_loss,test_dice,test_iou,test_loss
0.20,0.6303,0.5093,0.3630,0.6236,0.5059,0.4064
0.20,0.6400,0.5302,0.3659,0.6179,0.5108,0.4374
0.30,0.7403,0.6333,0.2528,0.7281,0.6211,0.3092
0.40,0.7883,0.6912,0.2163,0.7718,0.6696,0.2651
0.50,0.7787,0.6824,0.2200,0.7592,0.6587,0.2762
0.60,0.8149,0.7230,0.1986,0.8112,0.7142,0.2291
0.70,0.8011,0.7026,0.1928,0.7993,0.6968,0.2242
0.80,0.5360,0.4139,0.4635,0.5329,0.4153,0.5138
0.80,0.5406,0.4083,0.4055,0.5431,0.4111,0.4312
