filename,psnr,ssim,mse
0901x2.png,42.61054,0.96688455,0.00013454545
0902x2.png,34.255516,0.957675,0.00047604227
0903x2.png,36.302933,0.95567566,0.00029471327
0904x2.png,47.19558,0.989883,2.4228832e-05
0905x2.png,28.861681,0.90426785,0.0015144786
0906x2.png,31.16123,0.90340304,0.0008228086
0907x2.png,36.65742,0.93851537,0.00043798648
0908x2.png,36.627872,0.9564917,0.00022015812
0909x2.png,38.174572,0.9764947,0.00019669069
0910x2.png,30.305351,0.9160645,0.0011374106
0911x2.png,42.15239,0.9595105,6.7918496e-05
0912x2.png,41.79781,0.9712288,0.00012933086
0913x2.png,27.63507,0.9088688,0.0019499921
0914x2.png,30.275675,0.90091056,0.0011634463
0915x2.png,29.81128,0.9207246,0.0012166934
0916x2.png,36.72793,0.9142041,0.0006269263
0917x2.png,31.137306,0.9314619,0.0012244085
0918x2.png,45.24893,0.9810489,0.00012505763
0919x2.png,29.465485,0.897103,0.0019433995
0920x2.png,35.58118,0.9361411,0.00062164455
0921x2.png,36.058285,0.9655655,0.00029125545
0922x2.png,33.493874,0.8830951,0.0005154687
0923x2.png,36.552006,0.9448433,0.00077419373
0924x2.png,31.121298,0.9307366,0.0019646566
0925x2.png,33.928364,0.9191632,0.00045262245
0926x2.png,35.08783,0.97134143,0.0003362929
0927x2.png,54.175762,0.99694777,3.919094e-06
0928x2.png,32.821205,0.9038205,0.00061048724
0929x2.png,39.789295,0.94224244,0.0006356884
0930x2.png,41.770016,0.96766514,0.00018869877
0931x2.png,37.63708,0.9491201,0.0004946262
0932x2.png,37.546062,0.9697309,0.00020379787
0933x2.png,44.229847,0.9778498,0.00012577877
0934x2.png,37.40868,0.9725748,0.00020856257
0935x2.png,32.19563,0.9013524,0.0011188738
0936x2.png,44.100536,0.9478039,0.00030411856
0937x2.png,42.635418,0.9807009,0.00011463204
0938x2.png,37.38321,0.96882224,0.000301023
0939x2.png,36.245125,0.9621579,0.00026007553
0940x2.png,41.91772,0.98788315,0.00010252694
0941x2.png,30.133097,0.9106082,0.0013613881
0942x2.png,37.8457,0.9725578,0.00019896605
0943x2.png,32.58608,0.9471248,0.0005858153
0944x2.png,42.39256,0.93913645,0.0006311448
0945x2.png,29.46163,0.8763949,0.0013777083
0946x2.png,39.141277,0.97434753,0.00012737491
0947x2.png,33.372456,0.89217883,0.0007784553
0948x2.png,37.106705,0.9606066,0.0003970421
0949x2.png,39.06544,0.9119499,0.0008351475
0950x2.png,45.560562,0.9932153,3.443706e-05
0951x2.png,33.32721,0.92444944,0.000559807
0952x2.png,36.20402,0.94938666,0.00039211064
0953x2.png,47.20952,0.9496875,0.00017725809
0954x2.png,30.98278,0.93436927,0.0009293883
0955x2.png,33.13284,0.9593058,0.00060709217
0956x2.png,35.10043,0.9370839,0.00048675574
0957x2.png,34.061047,0.9591697,0.0005027842
0958x2.png,24.522524,0.9043552,0.003642692
0959x2.png,41.06823,0.93541193,0.00061668473
0960x2.png,32.582108,0.89425254,0.0005777376
0961x2.png,45.499664,0.9790836,6.3796535e-05
0962x2.png,35.573505,0.92478913,0.0008009742
0963x2.png,40.898026,0.9529743,0.00016653763
0964x2.png,38.06535,0.91877455,0.0007881547
0965x2.png,30.624098,0.8825858,0.000983128
0966x2.png,30.168528,0.91377115,0.0010512596
0967x2.png,47.29118,0.9924914,3.542222e-05
0968x2.png,30.465841,0.91228646,0.0015162836
0969x2.png,33.36259,0.9520414,0.0005127527
0970x2.png,40.94604,0.97237283,0.00013080714
0971x2.png,31.970566,0.89651686,0.0007392916
0972x2.png,32.92022,0.84289575,0.0011582099
0973x2.png,31.268732,0.90092784,0.0008620539
0974x2.png,35.261166,0.9261083,0.00043022676
0975x2.png,32.68497,0.92636865,0.00055789965
0976x2.png,40.513054,0.9782798,0.00012403216
0977x2.png,27.967196,0.8936668,0.0017678639
0978x2.png,32.49839,0.9493497,0.0018926888
0979x2.png,39.23837,0.95724636,0.00019519227
0980x2.png,28.525236,0.8503608,0.0014504752
0981x2.png,33.60798,0.9543635,0.00059105095
0982x2.png,34.001995,0.9387265,0.00053412904
0983x2.png,38.670437,0.9746826,0.0003351013
0984x2.png,35.483624,0.9475884,0.00028378173
0985x2.png,32.718544,0.91633505,0.00065825065
0986x2.png,40.661,0.97539437,0.00017808352
0987x2.png,32.056416,0.9384634,0.0007287729
0988x2.png,37.163475,0.95228547,0.00022315265
0989x2.png,44.010685,0.9895418,0.00010728211
0990x2.png,32.66332,0.92531466,0.0010201749
0991x2.png,26.547749,0.92002034,0.0027532713
0992x2.png,30.154234,0.8923977,0.0012288624
0993x2.png,30.429773,0.96496916,0.0009163485
0994x2.png,25.79866,0.8778133,0.0026449673
0995x2.png,26.302887,0.84388274,0.0027042
0996x2.png,44.376698,0.98858714,4.886152e-05
0997x2.png,31.042593,0.8441827,0.0013762506
0998x2.png,34.331287,0.95156074,0.0010036391
0999x2.png,37.15452,0.9818833,0.00036205872
1000x2.png,34.61259,0.9051207,0.0004044382
