epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1,540,540,333.8767740726471,618.2903223567539,0.0185,33.7098,0.0157,35.8141
2,540,540,269.61851477622986,499.29354588190716,0.0172,34.2485,0.0153,36.0757
3,540,540,270.4297261238098,500.79578911816634,0.0164,34.7585,0.0152,36.1721
4,540,540,269.44667649269104,498.97532683831673,0.0170,34.4800,0.0150,36.2800
5,540,540,269.9886169433594,499.9789202654803,0.0166,34.5647,0.0149,36.3592
6,540,540,268.2858691215515,496.82568355842875,0.0164,34.6971,0.0150,36.3411
7,540,540,271.648699760437,503.053147704513,0.0165,34.6550,0.0148,36.3936
8,540,540,270.13038206100464,500.24144826111973,0.0166,34.6776,0.0148,36.4549
9,540,540,285.55522894859314,528.8059795344317,0.0161,34.8201,0.0147,36.4755
10,540,540,267.82768726348877,495.9771986360903,0.0164,34.6557,0.0147,36.4899
11,540,540,269.70602917671204,499.4556095865038,0.0161,34.9607,0.0146,36.5281
12,540,540,272.74027466773987,505.07458271803677,0.0159,34.9540,0.0146,36.5239
13,540,540,270.8396337032318,501.55487722820703,0.0162,34.8100,0.0146,36.5229
14,540,540,271.304678440094,502.41607118535927,0.0162,34.8397,0.0146,36.5892
15,540,540,270.82941222190857,501.53594855908995,0.0161,34.9656,0.0145,36.5856
16,540,540,268.69554901123047,497.58435002079716,0.0164,34.9253,0.0146,36.5549
17,540,540,276.534631729126,512.1011698687518,0.0159,35.0204,0.0145,36.5876
18,540,540,269.8817274570465,499.78097677230835,0.0162,34.8667,0.0145,36.6185
19,540,540,270.66623616218567,501.2337706707142,0.0162,34.9295,0.0145,36.5442
20,540,540,271.1419348716736,502.11469420680294,0.0162,34.7171,0.0144,36.5572
21,540,540,268.6976544857025,497.58824904759723,0.0160,34.9578,0.0145,36.6179
22,540,540,269.2489697933197,498.6092033209624,0.0160,35.0211,0.0144,36.6042
23,540,540,270.5388321876526,500.9978373845418,0.0159,35.1304,0.0144,36.6592
24,540,540,268.67818117141724,497.55218735447636,0.0156,35.1376,0.0144,36.6531
25,540,540,270.9093813896179,501.68403961040354,0.0162,34.9286,0.0144,36.6295
26,540,540,268.5063989162445,497.2340720671195,0.0157,35.1287,0.0144,36.6721
27,540,540,270.85916352272034,501.5910435605932,0.0155,35.1617,0.0143,36.7225
28,540,540,270.7792637348175,501.4430809904028,0.0160,34.9541,0.0143,36.6827
29,540,540,269.1544373035431,498.43414315470943,0.0156,35.3408,0.0143,36.6979
30,540,540,270.7926902770996,501.4679449575919,0.0158,35.0274,0.0143,36.7037
31,540,540,268.64267778396606,497.4864403406779,0.0160,35.0148,0.0144,36.6323
32,540,540,270.3259913921356,500.6036877632141,0.0155,35.3070,0.0143,36.7143
33,540,540,270.91480469703674,501.69408277229024,0.0158,35.1381,0.0142,36.6925
34,540,540,269.28995633125305,498.68510431713526,0.0159,35.0505,0.0142,36.7204
35,540,540,270.91109466552734,501.6872123435692,0.0159,34.9721,0.0142,36.7493
36,540,540,268.97675824165344,498.1051078549138,0.0160,34.9163,0.0143,36.7648
37,540,540,271.24287128448486,502.3016134897868,0.0158,35.1636,0.0142,36.7682
38,540,540,268.5083038806915,497.23759977905837,0.0158,35.0742,0.0142,36.7816
39,540,540,268.65918588638306,497.51701090070935,0.0155,35.2898,0.0142,36.7848
40,540,540,268.81495785713196,497.80547751320734,0.0157,35.2450,0.0142,36.7742
41,540,540,268.8609502315521,497.89064857694837,0.0158,35.1260,0.0142,36.7691
42,540,540,269.4032373428345,498.894883968212,0.0158,35.1754,0.0142,36.7323
43,540,540,269.2206244468689,498.5567119386461,0.0156,35.2840,0.0142,36.7966
44,540,540,270.88164162635803,501.6326696784408,0.0154,35.1833,0.0141,36.8109
45,540,540,268.7557575702667,497.69584735234577,0.0157,35.1796,0.0142,36.8026
46,540,540,273.35777163505554,506.2180956204732,0.0158,35.0731,0.0141,36.8268
47,540,540,268.61540842056274,497.43594151956063,0.0156,35.3180,0.0142,36.7628
48,540,540,268.886109828949,497.9372404239796,0.0155,35.3157,0.0142,36.7102
49,540,540,271.3730037212372,502.54259948377256,0.0153,35.2952,0.0141,36.8166
50,540,540,268.72683906555176,497.6422945658366,0.0156,35.2600,0.0141,36.8182
51,540,540,268.3212540149689,496.89121113883124,0.0156,35.2606,0.0141,36.8034
52,540,540,268.4862308502197,497.1967237967032,0.0153,35.3539,0.0142,36.8181
53,540,540,269.02685713768005,498.1978835882964,0.0158,35.0991,0.0141,36.8259
54,540,540,271.1949288845062,502.21283126760414,0.0158,35.1284,0.0141,36.8513
55,540,540,271.4455864429474,502.6770119313841,0.0152,35.4403,0.0141,36.8261
56,540,540,270.76862478256226,501.42337922696714,0.0154,35.3524,0.0141,36.8710
57,540,540,268.94563245773315,498.04746751432066,0.0154,35.3300,0.0141,36.8780
58,540,540,268.9167265892029,497.9939381281535,0.0157,35.0495,0.0141,36.7939
59,540,540,268.7210350036621,497.631546303078,0.0154,35.3078,0.0142,36.8103
60,540,540,269.65141344070435,499.35446933463766,0.0155,35.2435,0.0142,36.8108
61,540,540,270.77358174324036,501.43255878377846,0.0155,35.1826,0.0140,36.8393
62,540,540,270.35314083099365,500.6539645018401,0.0155,35.1017,0.0140,36.9002
63,540,540,268.5063667297363,497.2340124624747,0.0154,35.3082,0.0140,36.9141
64,540,540,269.9458658695221,499.8997516102261,0.0156,35.2987,0.0141,36.8754
65,540,540,269.0427339076996,498.2272850142585,0.0157,35.0832,0.0141,36.8795
66,540,540,271.6192605495453,502.9986306473061,0.0152,35.5630,0.0140,36.8651
67,540,540,268.73831844329834,497.6635526727747,0.0155,35.0980,0.0142,36.8029
68,540,540,271.6136546134949,502.9882492842498,0.0156,35.2809,0.0140,36.9308
69,540,540,269.048380613327,498.2377418765315,0.0156,35.2888,0.0140,36.9198
70,540,540,268.51472997665405,497.2494999567668,0.0160,34.8668,0.0140,36.8218
71,540,540,269.4359314441681,498.9554286003113,0.0152,35.4801,0.0140,36.8166
72,540,540,270.4774236679077,500.8841179035328,0.0154,35.3007,0.0140,36.9390
73,540,540,271.0961639881134,502.02993331132114,0.0153,35.3746,0.0140,36.9501
74,540,540,269.03284978866577,498.2089810901218,0.0156,35.3073,0.0141,36.8737
75,540,540,268.7092795372009,497.60977692074243,0.0150,35.5538,0.0140,36.9115
76,540,540,269.08147740364075,498.29903222896434,0.0155,35.2297,0.0140,36.9381
77,540,540,269.8366115093231,499.69742872096873,0.0154,35.3240,0.0140,36.9585
78,540,540,268.69381976127625,497.5811477060671,0.0157,35.2156,0.0140,36.9238
79,540,540,270.5004539489746,500.9267665721752,0.0155,35.2765,0.0140,36.9472
80,540,540,268.59161734580994,497.3918839737221,0.0154,35.3680,0.0141,36.9108
81,540,540,269.5978388786316,499.2552571826511,0.0155,35.2367,0.0140,36.9514
82,540,540,271.19367027282715,502.2105005052355,0.0153,35.2282,0.0140,36.9737
83,540,540,270.773503780365,501.43241440808333,0.0155,35.2511,0.0139,36.9702
84,540,540,269.3728573322296,498.8386246893141,0.0156,35.2584,0.0140,36.8318
85,540,540,270.88168144226074,501.632743411594,0.0156,35.2584,0.0141,36.8908
86,540,540,268.58931946754456,497.38762864360103,0.0155,35.1799,0.0139,36.9792
87,540,540,269.1351864337921,498.3984933959113,0.0153,35.3614,0.0139,36.9735
88,540,540,270.661808013916,501.22557039614077,0.0154,35.3364,0.0139,36.9682
89,540,540,269.29253029823303,498.68987092265377,0.0155,35.2881,0.0139,36.9920
90,540,540,268.9191462993622,497.99841907289294,0.0154,35.2379,0.0140,36.9139
91,540,540,268.5346233844757,497.2863396008809,0.0156,35.1719,0.0140,36.9160
92,540,540,271.7652096748352,503.26890680525037,0.0154,35.3263,0.0139,36.9915
93,540,540,269.21958804130554,498.55479266908435,0.0154,35.3390,0.0140,36.8883
94,540,540,269.1526734828949,498.43087682017574,0.0150,35.5703,0.0139,36.9873
95,540,540,269.2431938648224,498.5985071570785,0.0152,35.4955,0.0139,36.9639
96,540,540,269.06671929359436,498.2717023955451,0.0156,35.1532,0.0139,36.9545
97,540,540,268.34575629234314,496.93658572656136,0.0153,35.5105,0.0140,36.9281
98,540,540,269.3272273540497,498.75412472972164,0.0153,35.3729,0.0140,36.9509
99,540,540,268.86028027534485,497.8894079173053,0.0153,35.3510,0.0140,36.9344
100,540,540,268.8024561405182,497.7823261861448,0.0154,35.3482,0.0140,36.9740
