epoch,steps_completed,steps_total,duration_s,ms_per_step,loss,psnr,val_loss,val_psnr
1.0,2160.0,2160.0,1030.0,477.0,0.0112,37.9671,,
2.0,2160.0,2160.0,993.0,460.0,0.0102,38.7475,,
3.0,2160.0,2160.0,993.0,460.0,0.0096,39.3272,,
4.0,2160.0,2160.0,1152.0,533.0,0.0099,39.0946,0.009,40.4653
5.0,2160.0,2160.0,994.0,460.0,0.0097,39.21,,
6.0,2160.0,2160.0,994.0,460.0,0.0095,39.3718,,
7.0,2160.0,2160.0,994.0,460.0,0.0095,39.3685,,
8.0,2160.0,2160.0,1152.0,533.0,0.0095,39.4531,0.0086,40.9979
9.0,2160.0,2160.0,993.0,460.0,0.0093,39.5765,,
10.0,2160.0,2160.0,995.0,460.0,0.0093,39.4915,,
11.0,2160.0,2160.0,994.0,460.0,0.0092,39.8,,
12.0,2160.0,2160.0,1152.0,533.0,0.0091,39.7992,0.0084,41.1191
13.0,2160.0,2160.0,994.0,460.0,0.0092,39.6965,,
14.0,2160.0,2160.0,994.0,460.0,0.0092,39.7563,,
15.0,2160.0,2160.0,994.0,460.0,0.0091,39.8785,,
16.0,2160.0,2160.0,1153.0,534.0,0.0092,39.8587,0.0083,41.3054
17.0,2160.0,2160.0,995.0,461.0,0.009,39.9302,,
18.0,2160.0,2160.0,995.0,460.0,0.0091,39.8126,,
19.0,2160.0,2160.0,995.0,460.0,0.0091,39.8837,,
20.0,2160.0,2160.0,1152.0,533.0,0.0091,39.7396,0.0082,41.3569
21.0,2160.0,2160.0,995.0,461.0,0.009,39.9263,,
22.0,2160.0,2160.0,994.0,460.0,0.009,40.0013,,
23.0,2160.0,2160.0,995.0,461.0,0.0089,40.1278,,
24.0,2160.0,2160.0,1154.0,534.0,0.0087,40.1205,0.0082,41.4149
25.0,2160.0,2160.0,995.0,460.0,0.0091,39.9424,,
26.0,2160.0,2160.0,995.0,461.0,0.0088,40.1347,,
27.0,2160.0,2160.0,995.0,461.0,0.0087,40.1912,,
28.0,2160.0,2160.0,1153.0,534.0,0.0089,39.9999,0.0082,41.4418
29.0,2160.0,2160.0,995.0,461.0,0.0087,40.3396,,
30.0,2160.0,2160.0,996.0,461.0,0.0088,40.0443,,
31.0,2160.0,2160.0,996.0,461.0,0.0089,40.0499,,
32.0,2160.0,2160.0,1152.0,533.0,0.0086,40.3457,0.0083,41.2343
33.0,2160.0,2160.0,994.0,460.0,0.0088,40.1673,,
34.0,2160.0,2160.0,995.0,461.0,0.0089,40.0688,,
35.0,2160.0,2160.0,994.0,460.0,0.0088,40.0499,,
36.0,2160.0,2160.0,1152.0,533.0,0.0089,40.0006,0.0083,41.3196
37.0,2160.0,2160.0,995.0,461.0,0.0088,40.2324,,
38.0,2160.0,2160.0,996.0,461.0,0.0088,40.1083,,
39.0,2160.0,2160.0,995.0,461.0,0.0086,40.3407,,
40.0,2160.0,2160.0,1153.0,534.0,0.0087,40.2917,0.008,41.6353
41.0,2160.0,2160.0,994.0,460.0,0.0088,40.1799,,
