Wall time,epoch,loss,psnr_metric
1765531427.3791742,0,0.03408966585993767,inf
1765531569.5307074,1,0.03224600479006767,30.667675018310547
1765531708.70594,2,0.031553491950035095,31.08414077758789
1765531853.8608322,3,0.03264303877949715,30.660995483398438
1765531985.1681275,4,0.03206909820437431,30.812894821166992
1765532128.164446,5,0.03144168108701706,30.95583724975586
1765532269.630582,6,0.03187229111790657,30.791452407836914
1765532412.4645767,7,0.032357025891542435,30.82569122314453
1765532496.415113,8,0.03057778999209404,31.219266891479492
1765532633.781924,9,0.03139263018965721,30.846139907836914
1765532717.305413,10,0.030960721895098686,31.01774787902832
1765532855.570944,11,0.03032241389155388,31.352954864501953
1765532939.3455005,12,0.03104889765381813,30.984560012817383
1765533021.090456,13,0.03111610747873783,31.01654052734375
1765533110.2989867,14,0.030682895332574844,31.29381561279297
1765533202.2124305,15,0.03159607946872711,31.001005172729492
1765533290.6432333,16,0.0301909651607275,31.264511108398438
1765533435.5862777,17,0.03090619668364525,31.102527618408203
1765533520.5003145,18,0.030417626723647118,31.349515914916992
1765533605.2931788,19,0.03075052611529827,31.12013816833496
1765533746.1797998,20,0.03063160926103592,31.266416549682617
1765533835.0310352,21,0.02997240424156189,31.458864212036133
1765533970.5447917,22,0.03045988455414772,31.341110229492188
1765534111.1977973,23,0.029679622501134872,31.519268035888672
1765534191.049014,24,0.030644968152046204,31.24365234375
1765534273.5244682,25,0.029928190633654594,31.367816925048828
1765534415.4760923,26,0.0294960867613554,31.503154754638672
1765534498.011756,27,0.030300065875053406,31.342273712158203
1765534579.1852143,28,0.029836095869541168,31.6182804107666
1765534664.1500225,29,0.0302878450602293,31.316076278686523
1765534747.0427663,30,0.030565999448299408,31.26921272277832
1765534828.6498966,31,0.02958282269537449,31.62987518310547
1765534911.28529,32,0.030134914442896843,31.48257827758789
1765535054.66341,33,0.030416015535593033,31.33919334411621
1765535136.5500627,34,0.030808910727500916,31.23983383178711
1765535218.9087806,35,0.030323674902319908,31.183984756469727
1765535301.7711375,36,0.030402416363358498,31.408916473388672
1765535386.172444,37,0.03015565499663353,31.2713680267334
1765535523.8060493,38,0.029928231611847878,31.50242042541504
1765535607.8333588,39,0.030422570183873177,31.294979095458984
1765535693.5856707,40,0.030182546004652977,31.538267135620117
1765535777.6208725,41,0.029870901256799698,31.527496337890625
1765535859.9411588,42,0.02998523786664009,31.354351043701172
1765536000.9270217,43,0.029689626768231392,31.328479766845703
1765536083.6765738,44,0.029982255771756172,31.44972801208496
1765536225.2403626,45,0.030261961743235588,31.457656860351562
1765536366.635854,46,0.029939044266939163,31.491533279418945
1765536450.2247417,47,0.030043210834264755,31.526371002197266
1765536534.1423364,48,0.028918011114001274,31.66390037536621
1765536617.5815573,49,0.02975831925868988,31.577180862426758
1765536758.7676716,50,0.030203957110643387,31.308605194091797
1765536844.8431995,51,0.029486507177352905,31.613422393798828
1765536928.7004426,52,0.030249033123254776,31.197702407836914
1765537009.4188466,53,0.030253082513809204,31.411048889160156
1765537097.8840852,54,0.029398057609796524,31.717519760131836
1765537235.5854902,55,0.029788978397846222,31.59868049621582
1765537375.2616498,56,0.029827291145920753,31.599069595336914
1765537460.490406,57,0.029841119423508644,31.38689613342285
1765537543.371905,58,0.02967221662402153,31.5057430267334
1765537628.504633,59,0.029797988012433052,31.398412704467773
