epoch,duration_s,ms_per_step,steps_per_epoch
0,174.45874428749084,646.1434973610772,270
1,142.15021753311157,526.4822871596725,270
2,139.1736445426941,515.4579427507189,270
3,145.15373754501343,537.6064353519016,270
4,131.30600428581238,486.3185343918977,270
5,142.9949381351471,529.6108819820263,270
6,141.46462965011597,523.9430727782072,270
7,142.83251476287842,529.0093139365868,270
8,83.9490065574646,310.9222465091282,270
9,137.36463284492493,508.75789942564785,270
10,83.52230072021484,309.3418545193142,270
11,138.2637255191803,512.0878722932604,270
12,83.77331733703613,310.2715456927264,270
13,81.74360036849976,302.754075438888,270
14,89.2073175907135,330.39747255819816,270
15,91.91050267219543,340.4092691562794,270
16,88.4288740158081,327.5143482066967,270
17,144.94165802001953,536.820955629702,270
18,84.9125189781189,314.49081103007,270
19,84.79066205024719,314.0394890749896,270
20,140.8847622871399,521.7954158782959,270
21,88.84984302520752,329.0734926859538,270
22,135.51183366775513,501.8956802509449,270
23,140.6515736579895,520.93175428885,270
24,79.84979248046875,295.73997214988424,270
25,82.47375106811523,305.4583372893157,270
26,141.94989395141602,525.7403479682075,270
27,82.53396272659302,305.681343431826,270
28,81.17185997962952,300.6365184430723,270
29,84.96339344978333,314.6792349991975,270
30,82.8915286064148,307.00566150523997,270
31,81.60523462295532,302.2416097146493,270
32,82.63348722457886,306.0499526836254,270
33,143.37684535980225,531.0253531844528,270
34,81.88488864898682,303.27736536661786,270
35,82.35692620277405,305.02565260286684,270
36,82.86111187934875,306.89300696055096,270
37,84.39950728416443,312.59076771912754,270
38,137.63195753097534,509.74799085546425,270
39,84.0257318019867,311.20641408143223,270
40,85.75059866905212,317.59480988537825,270
41,84.03343152999878,311.23493159258805,270
42,82.31845736503601,304.8831754260593,270
43,140.98415279388428,522.163528866238,270
44,82.74790859222412,306.473735526756,270
45,141.56202173233032,524.303784193816,270
46,141.39413285255432,523.6819735279789,270
47,83.58758020401001,309.58363038522225,270
48,83.91591382026672,310.7996808158027,270
49,83.43748641014099,309.0277274449666,270
50,141.18438577651978,522.9051325056288,270
51,86.07428503036499,318.79364826061106,270
52,83.85567235946655,310.5765642943206,270
53,80.71712183952332,298.9523031093456,270
54,88.46330571174622,327.64187300646745,270
55,137.70007228851318,510.000267735234,270
56,139.67452907562256,517.3130706504539,270
57,85.22722578048706,315.6563917795817,270
58,82.87973642349243,306.96198675367566,270
59,85.13150644302368,315.3018757149025,270
