Dataset,Filename,PSNR,SSIM,MSE
Set14,img_001_SRF_2_HR.png,22.079683303833008,0.44504329562187195,0.0061948588117957115
Set14,img_002_SRF_2_HR.png,24.883182525634766,0.6843311190605164,0.0032484913244843483
Set14,img_003_SRF_2_HR.png,24.03211212158203,0.5447186231613159,0.00395174277946353
Set14,img_004_SRF_2_HR.png,25.1284236907959,0.49599266052246094,0.0030701353680342436
Set14,img_005_SRF_2_HR.png,21.41468048095703,0.5814647078514099,0.00721991341561079
Set14,img_006_SRF_2_HR.png,31.23788070678711,0.740515947341919,0.0007519894861616194
Set14,img_007_SRF_2_HR.png,25.149629592895508,0.7095370888710022,0.003055181121453643
Set14,img_008_SRF_2_HR.png,31.879411697387695,0.8926680088043213,0.0006487221689894795
Set14,img_009_SRF_2_HR.png,29.7122745513916,0.8053261041641235,0.0010684947483241558
Set14,img_010_SRF_2_HR.png,25.401416778564453,0.6680717468261719,0.002883089240640402
Set14,img_011_SRF_2_HR.png,27.546051025390625,0.8830327391624451,0.0017595224780961871
Set14,img_012_SRF_2_HR.png,30.95841407775879,0.8385348916053772,0.0008019704837352037
Set14,img_013_SRF_2_HR.png,22.996807098388672,0.8607800006866455,0.005015555303543806
Set14,img_014_SRF_2_HR.png,23.53209686279297,0.6712964773178101,0.004433945287019014
Set14,img_001_SRF_3_HR.png,22.094573974609375,0.44376587867736816,0.006173658184707165
Set14,img_002_SRF_3_HR.png,24.883182525634766,0.6843311190605164,0.0032484913244843483
Set14,img_003_SRF_3_HR.png,24.16332244873047,0.557869017124176,0.0038341365288943052
Set14,img_004_SRF_3_HR.png,25.127792358398438,0.4962514340877533,0.003070582402870059
Set14,img_005_SRF_3_HR.png,21.4932861328125,0.5831050276756287,0.007090407889336348
Set14,img_006_SRF_3_HR.png,31.23788070678711,0.740515947341919,0.0007519894861616194
Set14,img_007_SRF_3_HR.png,25.403759002685547,0.7203320264816284,0.002881536027416587
Set14,img_008_SRF_3_HR.png,31.887435913085938,0.8927337527275085,0.0006475246045738459
Set14,img_009_SRF_3_HR.png,30.104341506958008,0.8163561820983887,0.0009762605186551809
Set14,img_010_SRF_3_HR.png,25.57468032836914,0.6800920963287354,0.0027703323867172003
Set14,img_011_SRF_3_HR.png,28.131807327270508,0.8943588137626648,0.0015375146176666021
Set14,img_012_SRF_3_HR.png,31.840763092041016,0.8491230010986328,0.0006545212236233056
Set14,img_013_SRF_3_HR.png,23.236927032470703,0.8728581070899963,0.00474577397108078
Set14,img_014_SRF_3_HR.png,23.863082885742188,0.6806579828262329,0.004108579363673925
Set14,img_001_SRF_4_HR.png,22.079683303833008,0.44504329562187195,0.0061948588117957115
Set14,img_002_SRF_4_HR.png,24.883182525634766,0.6843311190605164,0.0032484913244843483
Set14,img_003_SRF_4_HR.png,24.03211212158203,0.5447186231613159,0.00395174277946353
Set14,img_004_SRF_4_HR.png,25.1284236907959,0.49599266052246094,0.0030701353680342436
Set14,img_005_SRF_4_HR.png,21.474090576171875,0.584318220615387,0.007121816743165255
Set14,img_006_SRF_4_HR.png,31.23788070678711,0.740515947341919,0.0007519894861616194
Set14,img_007_SRF_4_HR.png,25.38593292236328,0.7208540439605713,0.0028933866415172815
Set14,img_008_SRF_4_HR.png,31.879411697387695,0.8926680088043213,0.0006487221689894795
Set14,img_009_SRF_4_HR.png,29.7122745513916,0.8053261041641235,0.0010684947483241558
Set14,img_010_SRF_4_HR.png,25.401416778564453,0.6680717468261719,0.002883089240640402
Set14,img_011_SRF_4_HR.png,27.546051025390625,0.8830327391624451,0.0017595224780961871
Set14,img_012_SRF_4_HR.png,30.95841407775879,0.8385348916053772,0.0008019704837352037
Set14,img_013_SRF_4_HR.png,22.996807098388672,0.8607800006866455,0.005015555303543806
Set14,img_014_SRF_4_HR.png,23.985193252563477,0.6844473481178284,0.003994665574282408
Urban100,img_001_SRF_2_HR.png,24.797012329101562,0.6968402862548828,0.003313589608296752
Urban100,img_002_SRF_2_HR.png,23.1453914642334,0.6282832026481628,0.0048468648456037045
Urban100,img_003_SRF_2_HR.png,22.38215446472168,0.549987256526947,0.00577809102833271
Urban100,img_004_SRF_2_HR.png,17.86734962463379,0.4717588722705841,0.01634049043059349
Urban100,img_005_SRF_2_HR.png,21.044126510620117,0.7824856638908386,0.007862979546189308
Urban100,img_006_SRF_2_HR.png,21.422643661499023,0.5494651794433594,0.007206684909760952
Urban100,img_007_SRF_2_HR.png,22.7899227142334,0.6618683934211731,0.005260264500975609
Urban100,img_008_SRF_2_HR.png,19.89397621154785,0.41997942328453064,0.010247132740914822
Urban100,img_009_SRF_2_HR.png,30.20989227294922,0.8172792792320251,0.0009528191294521093
Urban100,img_010_SRF_2_HR.png,23.825613021850586,0.7356804013252258,0.004144178703427315
Urban100,img_011_SRF_2_HR.png,14.294873237609863,0.5326231122016907,0.03719739988446236
Urban100,img_012_SRF_2_HR.png,22.991430282592773,0.6142994165420532,0.0050217704847455025
Urban100,img_013_SRF_2_HR.png,24.733739852905273,0.6835418939590454,0.003362218616530299
Urban100,img_014_SRF_2_HR.png,23.392658233642578,0.6103441715240479,0.004578616004437208
Urban100,img_015_SRF_2_HR.png,22.970029830932617,0.671761155128479,0.005046578589826822
Urban100,img_016_SRF_2_HR.png,23.53862190246582,0.8288383483886719,0.004427287727594376
Urban100,img_017_SRF_2_HR.png,22.096481323242188,0.6520171761512756,0.006170946639031172
Urban100,img_018_SRF_2_HR.png,24.142427444458008,0.5567335486412048,0.003852629102766514
Urban100,img_019_SRF_2_HR.png,17.859766006469727,0.6072870492935181,0.016369041055440903
Urban100,img_020_SRF_2_HR.png,20.0240478515625,0.5627955198287964,0.009944775141775608
Urban100,img_021_SRF_2_HR.png,26.51766586303711,0.7283577919006348,0.0022296325769275427
Urban100,img_022_SRF_2_HR.png,25.31427001953125,0.6908810138702393,0.0029415269382297993
Urban100,img_023_SRF_2_HR.png,22.28597640991211,0.6668219566345215,0.005907481536269188
Urban100,img_024_SRF_2_HR.png,17.963380813598633,0.4064579904079437,0.015983128920197487
Urban100,img_025_SRF_2_HR.png,26.087846755981445,0.8202685713768005,0.002461587078869343
Urban100,img_026_SRF_2_HR.png,27.047191619873047,0.7671509981155396,0.0019736981485038996
Urban100,img_027_SRF_2_HR.png,26.322168350219727,0.7068061232566833,0.002332292729988694
Urban100,img_028_SRF_2_HR.png,26.423824310302734,0.7675696611404419,0.002278334926813841
Urban100,img_029_SRF_2_HR.png,22.83008575439453,0.658150315284729,0.0052118441089987755
Urban100,img_030_SRF_2_HR.png,19.951202392578125,0.5324769020080566,0.010112988762557507
Urban100,img_031_SRF_2_HR.png,22.671030044555664,0.6309957504272461,0.0054062604904174805
Urban100,img_032_SRF_2_HR.png,26.119586944580078,0.7210919857025146,0.0024436626117676497
Urban100,img_033_SRF_2_HR.png,25.1009464263916,0.6602365970611572,0.0030896207317709923
Urban100,img_034_SRF_2_HR.png,21.64230728149414,0.5588054656982422,0.006851240526884794
Urban100,img_035_SRF_2_HR.png,24.011882781982422,0.7189838886260986,0.003970193210989237
Urban100,img_036_SRF_2_HR.png,23.67711639404297,0.7325555086135864,0.004288331139832735
Urban100,img_037_SRF_2_HR.png,21.743534088134766,0.5930888056755066,0.006693396717309952
Urban100,img_038_SRF_2_HR.png,25.42727279663086,0.5118922591209412,0.0028659768868237734
Urban100,img_039_SRF_2_HR.png,21.550491333007812,0.5755480527877808,0.006997627206146717
Urban100,img_040_SRF_2_HR.png,17.309425354003906,0.7402209639549255,0.018580498173832893
Urban100,img_041_SRF_2_HR.png,18.798412322998047,0.6489772200584412,0.013187387026846409
Urban100,img_042_SRF_2_HR.png,23.1036376953125,0.7396373152732849,0.004893684759736061
Urban100,img_043_SRF_2_HR.png,21.309444427490234,0.8031505346298218,0.0073969983495771885
Urban100,img_044_SRF_2_HR.png,23.488393783569336,0.5685771703720093,0.0044787866063416
Urban100,img_045_SRF_2_HR.png,19.10529136657715,0.4438428282737732,0.012287707068026066
Urban100,img_046_SRF_2_HR.png,24.215696334838867,0.6409444808959961,0.0037881769239902496
Urban100,img_047_SRF_2_HR.png,20.660675048828125,0.5864377617835999,0.008588800206780434
Urban100,img_048_SRF_2_HR.png,17.676137924194336,0.5582656264305115,0.017076002433896065
Urban100,img_049_SRF_2_HR.png,19.317289352416992,0.5678016543388367,0.01170229073613882
Urban100,img_050_SRF_2_HR.png,23.247697830200195,0.6331189274787903,0.004734019748866558
Urban100,img_051_SRF_2_HR.png,23.492706298828125,0.657063901424408,0.004474342800676823
Urban100,img_052_SRF_2_HR.png,22.026601791381836,0.6472685933113098,0.006271041929721832
Urban100,img_053_SRF_2_HR.png,19.05742835998535,0.5423462390899658,0.012423875741660595
Urban100,img_054_SRF_2_HR.png,20.282732009887695,0.5133893489837646,0.009369720704853535
Urban100,img_055_SRF_2_HR.png,21.88903045654297,0.6311352252960205,0.006472868844866753
Urban100,img_056_SRF_2_HR.png,20.900495529174805,0.5587897896766663,0.00812737550586462
Urban100,img_057_SRF_2_HR.png,24.082536697387695,0.7280016541481018,0.0039061245042830706
Urban100,img_058_SRF_2_HR.png,19.426647186279297,0.5735448002815247,0.011411300860345364
Urban100,img_059_SRF_2_HR.png,22.838680267333984,0.6603568196296692,0.0052015394903719425
Urban100,img_060_SRF_2_HR.png,22.527204513549805,0.5403098464012146,0.005588294938206673
Urban100,img_061_SRF_2_HR.png,21.857179641723633,0.5272254943847656,0.006520517636090517
Urban100,img_062_SRF_2_HR.png,19.779207229614258,0.554225504398346,0.010521539486944675
Urban100,img_063_SRF_2_HR.png,17.975736618041992,0.5895577669143677,0.015937715768814087
Urban100,img_064_SRF_2_HR.png,22.258136749267578,0.6012335419654846,0.005945472978055477
Urban100,img_065_SRF_2_HR.png,22.312942504882812,0.4632335603237152,0.005870916415005922
Urban100,img_066_SRF_2_HR.png,22.37575340270996,0.5626594424247742,0.005786614026874304
Urban100,img_067_SRF_2_HR.png,16.273862838745117,0.6228771209716797,0.02358379401266575
Urban100,img_068_SRF_2_HR.png,25.60019302368164,0.6922007203102112,0.002754105953499675
Urban100,img_069_SRF_2_HR.png,22.951005935668945,0.5879138112068176,0.005068732425570488
Urban100,img_070_SRF_2_HR.png,23.625507354736328,0.5807878375053406,0.004339595790952444
Urban100,img_071_SRF_2_HR.png,26.485034942626953,0.5853144526481628,0.0022464480716735125
Urban100,img_072_SRF_2_HR.png,15.559699058532715,0.5200684070587158,0.027799054980278015
Urban100,img_073_SRF_2_HR.png,19.533132553100586,0.36223676800727844,0.011134912259876728
Urban100,img_074_SRF_2_HR.png,23.306264877319336,0.5172786712646484,0.004670607857406139
Urban100,img_075_SRF_2_HR.png,26.328020095825195,0.8205885887145996,0.002329151378944516
Urban100,img_076_SRF_2_HR.png,21.37564468383789,0.5599084496498108,0.007285098545253277
Urban100,img_077_SRF_2_HR.png,23.44911766052246,0.6188223361968994,0.004519475623965263
Urban100,img_078_SRF_2_HR.png,25.328258514404297,0.6538156270980835,0.002932067262008786
Urban100,img_079_SRF_2_HR.png,22.724206924438477,0.572902262210846,0.0053404648788273335
Urban100,img_080_SRF_2_HR.png,30.625431060791016,0.8693348169326782,0.0008658778388053179
Urban100,img_081_SRF_2_HR.png,27.014240264892578,0.8871569037437439,0.001988729927688837
Urban100,img_082_SRF_2_HR.png,24.700632095336914,0.834492564201355,0.0033879473339766264
Urban100,img_083_SRF_2_HR.png,20.520591735839844,0.5266779661178589,0.008870352059602737
Urban100,img_084_SRF_2_HR.png,24.410720825195312,0.6150462031364441,0.0036218268796801567
Urban100,img_085_SRF_2_HR.png,23.654939651489258,0.7611028552055359,0.0043102833442389965
